번호,년도,분기,수출선행지수,무선통신선행지수,반도체선행지수,평판디스플레이선행지수,가전제품선행지수,자동차선행지수,자동차부품선행지수,컴퓨터선행지수,일반기계선행지수,철강제품선행지수,석유화학선행지수,석유제품선행지수,섬유류선행지수,식품류선행지수,기타선행지수,유럽선행지수,북미선행지수,아대양주선행지수,일본선행지수,중국선행지수,중남미선행지수,중동아선행지수,CIS선행지수,가격경쟁력선행지수,품질경쟁력선행지수,수입국경기선행지수
27,2012,4,49.72,58,35.81,49.97,53.08,38.77,48.07,49.18,45.33,46.81,47.28,41.46,43.76,48.57,47.59,46.05,53.33,45.52,52.91,43.17,72.2,60.92,62.08,50,58.4,42.2
28,2012,3,55.17,46.44,56.6,52.46,47.49,54.16,60.8,38.63,46.65,57.47,37.69,58.29,45.75,57.08,61.13,45.42,57.94,59.95,55.76,52.33,62.38,57.98,44.72,51.4,58.9,46.6
29,2012,2,51,50.66,50.93,54.09,53.09,55.2,43.6,56.82,55.33,37.84,53.71,28.57,54.07,64.68,48.52,39.71,57.45,43.49,63.26,45.46,66.45,67.36,53.71,52.2,59.3,51.1
30,2012,1,48.81,87.08,41.73,50.62,56.21,72.35,56.63,78.45,48.3,39.78,43.58,42.09,53.64,72.73,33.94,38.16,66.38,40.95,55.93,43.3,50.95,64.9,55.1,52.5,59.3,44.7
31,2011,4,57.14,84,41.24,60.87,69.03,68.01,50.39,32.46,51.95,44.02,57.18,63.28,47.89,71.41,65.39,51.9,61.82,51.42,61.78,52.55,63.27,75.19,70.26,51.8,56.7,47.2
32,2011,3,65.99,61.48,53.07,50.34,74.17,84.09,65.59,78.88,65.6,67.08,55.45,46.89,52.51,79.09,68.37,59.54,77.79,63.36,43.76,67.04,74.93,70.64,64.04,48.9,57.2,55.3
33,2011,2,66.64,57.47,57.47,56.67,58.55,72.19,78.94,62.6,62.42,59.35,68.88,56.03,64.98,69.91,61.57,68.4,83.86,68.27,59.33,58.97,72.02,69.25,68.99,53.1,58.2,57.8
34,2011,1,54.87,40.96,45.87,57.41,53.72,62.77,49.78,58.21,49.7,51.81,58.54,60.12,61.88,,,58.02,50.65,53.49,57.9,54.54,64.44,49.74,56.7,52.3,57.6,59.4
35,2010,4,56.44,70.68,60.52,62.33,53.23,72.04,58.25,49.38,55.11,50.52,52.41,46.49,49.86,,,61.8,52.46,54.32,66.68,58.14,48.55,50.84,61.25,51.7,58.3,59.8
36,2010,3,63.7,40.87,68.47,62.8,63.49,64.92,66.12,57.96,56.94,63.27,73.43,69.04,56.99,,,49.24,60.74,72.42,62.14,68.73,69.85,49.97,61.71,49.6,56.6,62.5
37,2010,2,63.03,68.15,64.07,70.52,62.58,68.16,66.19,50.51,55.61,49.29,58.25,55.3,69.42,,,53.56,61.5,68.78,73.47,62.58,67.99,61.54,43.01,50,59.1,61.4
38,2010,1,59.43,55.66,38.24,59.23,59.87,72.14,63.97,58.65,50.05,58.56,58.78,52.06,56.08,,,57.49,62.36,66.48,62.65,58.84,55.39,53.24,30.75,52,57.6,61.9
39,2009,4,65.3,68.35,83.99,73.01,52.63,58.53,73.05,62.79,54.67,66.66,64.72,57.99,68.59,,,71.88,59.26,71.62,65.48,64,53.73,65.19,71.81,51.1,56.22,62.94
